Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9848388280529887,0.9795612187692181
mvtec_cable,0.9968140929535232,0.9841371767393958,0.9752826640060172
mvtec_capsule,0.9792580773833267,0.9895443454347745,0.9874208462321307
mvtec_carpet,0.9859550561797752,0.9905210730106461,0.987877352351352
mvtec_grid,0.9791144527986633,0.9880078227070795,0.9836616111164842
mvtec_hazelnut,1.0,0.9867676775320984,0.979132706989056
mvtec_leather,1.0,0.9928769435753745,0.9903767542764322
mvtec_metal_nut,0.9990224828934506,0.9834029432068955,0.9792238427603471
mvtec_pill,0.9667212220403709,0.9780119421232533,0.9760502722113817
mvtec_screw,0.9877023980323837,0.9952476879451745,0.9938280075577359
mvtec_tile,0.9949494949494949,0.9571169974586883,0.9407954854044098
mvtec_toothbrush,1.0,0.985731544424691,0.9799756236048088
mvtec_transistor,0.9987499999999999,0.9609811350154143,0.9274338925930412
mvtec_wood,0.9912280701754386,0.9507743210330702,0.9373950508358218
mvtec_zipper,0.9950105042016807,0.9886782414695598,0.9856368185918265
Mean,0.9916350567738738,0.9811092453152735,0.9735768098200043
